time,bit,reading
0.12193870544433594,0,2966
0.12250661849975586,0,2946
0.12348294258117676,0,2966
0.12382817268371582,0,2946
0.12403726577758789,1,2927
0.12492752075195312,1,2961
0.12551259994506836,1,2963
0.12650609016418457,1,2961
0.12670087814331055,1,2963
0.12749481201171875,1,2967
0.12848496437072754,0,2944
0.12883758544921875,1,2963
0.12904119491577148,0,2942
0.12950944900512695,1,2963
0.13054752349853516,0,2938
0.1309213638305664,0,2960
0.13149571418762207,1,2943
0.13257980346679688,0,2928
0.13290143013000488,0,2958
0.13383841514587402,0,2968
0.1341254711151123,1,2963
0.13451337814331055,1,2963
0.1355152130126953,0,2938
0.13593006134033203,0,2928
0.13649463653564453,0,2960
0.13749217987060547,1,2939
0.13789677619934082,0,2932
0.13843631744384766,1,2923
0.1387162208557129,1,2963
0.1395411491394043,0,2954
0.13994979858398438,1,2963
0.1409282684326172,1,2961
0.1414933204650879,1,2965
0.14191007614135742,0,2960
0.14290785789489746,1,2963
0.14340710639953613,0,2944
0.14360404014587402,0,2932
0.14454388618469238,1,2959
0.1449446678161621,1,2941
0.14554810523986816,1,2927
0.14651036262512207,1,2953
0.1469135284423828,1,2961
0.14748597145080566,0,2944
0.1484088897705078,1,2963
0.14860081672668457,0,2968
0.1489567756652832,0,2966
0.14993882179260254,1,2965
0.1505296230316162,1,2963
0.15152192115783691,1,2961
0.15192246437072754,1,2941
0.15248799324035645,0,2928
0.1534132957458496,0,2958
0.15361618995666504,1,2963
0.1539297103881836,1,2961
0.15451693534851074,1,2961
0.15550851821899414,1,2955
0.15590810775756836,0,2962
0.15649795532226562,0,2964
0.1574878692626953,0,2946
0.15784001350402832,1,2961
0.15804290771484375,0,2962
0.15893173217773438,1,2945
0.15951108932495117,0,2938
0.16050958633422852,1,2925
0.1609349250793457,1,2929
0.161513090133667,1,2921
0.1624908447265625,1,2961
0.16283416748046875,1,2963
0.16303563117980957,1,2963
0.16351914405822754,0,2962
0.16451120376586914,0,2966
0.16491937637329102,0,2944
0.16599678993225098,0,2964
0.16652274131774902,0,2938
0.16691350936889648,0,2930
0.16783571243286133,1,2925
0.16815614700317383,0,2918
0.16852235794067383,1,2939
0.16951251029968262,1,2957
0.1699206829071045,1,2957
0.17049884796142578,1,2967
0.17157363891601562,0,2968
0.17191267013549805,1,2965
0.17241168022155762,1,2967
0.17267370223999023,1,2945
0.17352008819580078,0,2968
0.17393159866333008,0,2944
0.1749269962310791,0,2930
0.17550230026245117,1,2953
0.17649340629577637,0,2940
0.1769094467163086,0,2954
0.177412748336792,0,2960
0.17765426635742188,0,2962
0.17853522300720215,1,2965
0.17895174026489258,0,2966
0.17950820922851562,1,2965
0.18051958084106445,1,2963
0.18091511726379395,0,2938
0.1814875602722168,1,2931
0.18241024017333984,1,2967
0.18261504173278809,1,2939
0.182936429977417,1,2955
0.1839299201965332,1,2939
0.1845104694366455,1,2947
0.1855015754699707,1,2963
0.18591523170471191,1,2959
0.18648910522460938,1,2963
0.18741059303283691,0,2968
0.18763065338134766,1,2971
0.18793368339538574,1,2965
0.18853092193603516,1,2947
0.18951797485351562,1,2935
0.18991589546203613,0,2966
0.19091391563415527,0,2944
0.1914982795715332,1,2957
0.1918327808380127,1,2935
0.19203829765319824,1,2965
0.1929314136505127,1,2967
0.19353604316711426,0,2962
0.19450664520263672,1,2967
0.19493460655212402,0,2964
0.1954953670501709,0,2964
0.19648361206054688,0,2942
0.19683837890625,0,2928
0.19711565971374512,0,2926
0.19752144813537598,1,2967
0.1985182762145996,0,2940
0.19893383979797363,0,2960
0.19994664192199707,1,2939
0.20049762725830078,1,2959
0.2014904022216797,1,2965
0.20183444023132324,1,2965
0.20205950736999512,1,2963
0.20252084732055664,0,2966
0.20351362228393555,1,2939
0.2039201259613037,0,2930
0.20450210571289062,0,2962
0.20550155639648438,0,2940
0.20590710639953613,0,2930
0.20645689964294434,0,2926
0.20678472518920898,1,2961
0.20752573013305664,1,2953
0.20792675018310547,0,2966
0.20893359184265137,1,2965
0.2095038890838623,0,2970
0.21051740646362305,1,2967
0.21091294288635254,1,2943
0.2114238739013672,0,2958
0.2117140293121338,1,2939
0.21253204345703125,1,2963
0.21293854713439941,0,2936
0.21350574493408203,1,2929
0.21450209617614746,0,2952
0.21491503715515137,0,2966
0.2159745693206787,1,2955
0.21643877029418945,1,2965
0.21671223640441895,0,2962
0.2169792652130127,1,2967
0.21793270111083984,0,2962
0.2185060977935791,1,2943
0.21952271461486816,0,2960
0.21991848945617676,1,2939
0.22049331665039062,0,2964
0.2214500904083252,0,2944
0.22185802459716797,1,2929
0.22237730026245117,1,2957
0.22266292572021484,1,2963
0.22350740432739258,1,2953
0.223921537399292,1,2963
0.22491002082824707,0,2964
0.22548508644104004,0,2942
0.22641229629516602,0,2970
0.22661495208740234,1,2947
0.22694683074951172,0,2966
0.22751688957214355,0,2946
0.22852873802185059,0,2960
0.22892093658447266,0,2940
0.2294912338256836,0,2930
0.23049187660217285,1,2961
0.2308344841003418,0,2956
